Track;URI;Track;Name;Album;Name;Artist;Name(s);Release;Date;Duration;(ms);Popularity;Explicit;Added;By;Added;At;Genres;Record;Label;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time;Signature
spotify:track:419FFiitGchOUaIMEY7Dqi;Asi Fue;Desde Andalucia;Isabel Pantoja;03/05/1988;325466;66;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;villancicos,flamenco;RCA Records Label;0.733;0.319;7;-11.585;1;0.0298;0.322;0.00000818;0.2;0.466;110.002;4;;;;;;;;;;
spotify:track:4jpRPREFJcgUS6AZJFpCKl;Hijos de Caín;En Un Lugar De La Marcha;Barón Rojo;01/07/1985;358733;42;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;rock en español,heavy metal;Zafiro;0.191;0.91;0;-5.658;0;0.0855;0.0061;0.0000179;0.463;0.368;67.87;4;;;;;;;;;;
spotify:track:7F5AYZAPcNE9rIpCCHFEeh;Agradecido;Loco Por Incordiar;Rosendo;28/11/1985;274626;46;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;;RCA Records Label;0.437;0.977;2;-4.315;1;0.154;0.00395;0.0416;0.0685;0.497;174.309;4;;;;;;;;;;
spotify:track:7v2xvireH6Ba3FREa5wsRP;Y Sin Embargo;Yo, Mi, Me, Contigo;Joaquín Sabina;21/06/1996;277973;60;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;trova,cantautores,nueva trova;Ariola;0.691;0.467;7;-10.208;1;0.0725;0.676;0.00000157;0.0935;0.551;168.733;4;;;;;;;;;;
spotify:track:27ZrFLElsXCUIrSvgGD497;Qué Canten los Niños - Homenaje a las Aldeas SOS;Con el Paso del Tiempo;José Luis Perales;1986;288733;47;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;trova,villancicos;Sony Music Latin;0.507;0.227;5;-19.383;1;0.035;0.779;0;0.171;0.273;149.591;3;;;;;;;;;;
spotify:track:0Qhe5uFWO7RBDQKYQvtJIq;La Vida Que Mala Es - Remasterizado;Este Es Nuestro Tiempo 1986-1991 (Remasterizado);91;1986;246680;29;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;;Legacy Recordings;0.629;0.914;9;-3.749;1;0.0623;0.24;0;0.222;0.782;109.119;4;;;;;;;;;;
spotify:track:2fYRXoal0ysbJJBUddCGDb;Mi Agüita Amarilla;30 Años de Éxitos;Los Toreros Muertos;30/01/1986;339933;56;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;rock en español,rock latino;Ariola;0.712;0.55;0;-14.292;1;0.0467;0.124;0;0.22;0.893;130.46;4;;;;;;;;;;
spotify:track:5QrHfu4q83HjcFcRi2WlS3;Volare (Nel Blu di Pinto di Blu);Mosaïque;Gipsy Kings;02/08/1989;218520;0;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco;Columbia;0.638;0.801;4;-11.433;1;0.0493;0.61;0.00000751;0.373;0.926;116.053;4;;;;;;;;;;
spotify:track:2a7Ufmq13NRMavrBYUN5Ex;Desátame;Palabra de Mujer;Monica Naranjo;15/04/1997;288933;54;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;pop latino;Epic;0.57;0.945;7;-3.636;0;0.053;0.0345;0.00000443;0.175;0.593;136.285;4;;;;;;;;;;
spotify:track:6VuRx5yyACleleSGXzkrqG;Loco por Incordiar;Loco Por Incordiar;Rosendo;28/11/1985;213733;38;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;;RCA Records Label;0.348;0.937;4;-3.699;0;0.0547;0.00268;0.000111;0.1;0.453;183.505;4;;;;;;;;;;
