Track URI;n;Track;Artist;Release Year
spotify:track:1ysZNQgdABd64lSWVMujfz;145;Sé dónde van los patos cuando se congela el lago;Rufus T. Firefly;26/11/2021
spotify:track:1yFvwlbxg8MAr4s0JttxDt;146;Líbrame del mal;León Benavente;21/01/2022
spotify:track:4jnbkDGOz5bNo0fVHS0c52;147;El don de la ternura;Nacho Vegas;14/01/2022
spotify:track:4RfHBFrcSzKBMkllFnvxeb;148;Flores Imposibles;Second;26/01/2022
spotify:track:3NwKRS2q1cFUCcc9NaySz0;149;No Hemos Aprendido Nada;Viva Suecia;24/03/2022
spotify:track:1L4irrN3TGmOHS65WM1g4W;150;Santos Que Yo Te Pinte;Los Planetas;14/09/2000
spotify:track:1IMzgl3wucTiKpAtJt36uT;151;Energía Rara;Dorian;20/04/2022
spotify:track:5YAXnBkp7pGDiSZSsesRRY;152;Amor Que No Tiene Fin;Los Fresones Rebeldes;22/04/2022
spotify:track:2Q6qD1YTFn7NHuy2WmMGPG;153;Carreteras Infinitas;Sidonie;30/09/2016
spotify:track:6SRWGViRS6QzVk3WgsFFho;154;Si Tú Te Vas (Magnífica Desolación);La Habitación Roja;03/02/2014
spotify:track:1B0IbkyPeRzK4hgfUvxczy;155;Nadadora;Family;01/12/1993
spotify:track:2jDDt3E9m1nDOjhOL9fVs4;156;La Tormenta De Arena;Dorian;13/09/2009
spotify:track:23nsM3l7Ns7D8ifj9igfQQ;157;No Vuelvas a Japon (with Santi Balmes);Carlos Sadness;
spotify:track:1pSeWF5bAxkerkV1Qx6z7X;158;Tu Me llevas;Zahara;01/01/2009
spotify:track:5cYBWVeilVxYqHVmYZ9Jka;159;La Mitad De Nuestras Vidas;La Buena Vida;2003
spotify:track:365MK5X3FgXaW7IWmNzNV5;160;La edad que tengo;La Paloma;20/10/2023
spotify:track:6l34pOShiMGuhB69r59LHs;161;Blanca;Nacho Vegas;2001
spotify:track:1UK7AvApzdXOO4sGzkIEMi;162;Capitan;Miss Caffeina;23/11/2010
spotify:track:1fFQMaF62RGPx3ndLa2gDx;163;San Francisco el Grande;Niña Polaca;24/09/2021
spotify:track:22EwPdgFhiO7xgpoR1yt2v;164;La Moneda en el Aire;La Habitación Roja;02/02/2015
spotify:track:49fk6tXRrrjRmbaXtyJ268;165;Agosto Esquimal;Maga;2002
spotify:track:5hMMgAQcnwXaxeDBpWYcO2;166;Gravedad Cero;Shinova;05/01/2015
spotify:track:7GcXhX41MrVt2Bd2iXXio2;167;_La canción que no vas a hacer hoy;_juno;14/02/2023
spotify:track:3K4K4XZPEGLU0fyASkFo17;168;Billie Max;Ginebras;24/03/2023
spotify:track:2eZiRaP2ECZrqA66Rc1tFD;169;Prometo No Olvidar;La Casa Azul;03/03/2023
spotify:track:2TUkfggKtjI2m477a4tR5U;170;CEDÉ;Sidonie;23/06/2023
spotify:track:3kIqMP5hmPyn6hGYDvNvPt;171;Revolución;Amaral;14/03/2005
spotify:track:2knDKaryqbUi8Z16JFSUdc;172;La Corona Del Rey;MELIFLUO;07/03/2025
spotify:track:0HxclC3gw3M23OBPrL6oX2;173;Verano de los 27;Karavana;19/10/2023
spotify:track:08Pf4oaREtqHfxTC8cPJtx;174;Miro la vida pasar;Fangoria;22/10/2010
spotify:track:0ETbC80Wj4vJ95o8vcFtCL;175;Visitantes;Sexy Zebras;12/03/2013
spotify:track:5sKdpvvNyRJifUmYLNiYys;176;Viento de Cara;Supersubmarina;22/09/2014
spotify:track:7pewPEjjg1V60lpRXvt7zV;177;The Sun the Trees;Russian Red;14/02/2012
spotify:track:65lkBTWm53jr9Fk4k93leh;178;Chasing Illusions;Anni B Sweet;10/03/2015
spotify:track:1PMhNsKseVNt4oaeOAl6hw;179;Esta Noche Sólo Cantan Para Mí;La Casa Azul;03/11/2007
spotify:track:6IIhSqRS433zgjWM6IPyXC;180;Serenade;Dover;01/01/1997
spotify:track:3z3AitrnHkasvd8YyoAlik;181;Lo Que Sueñas Vuela;Marlango;01/01/2012
spotify:track:3kKC32g6Udc9wNHwZcMohb;182;Saharabbey Road;Vetusta Morla;21/04/2008
spotify:track:5QJhfu8ajjVuJetRxw1B4K;183;Cumpleaños Total;Los Planetas;03/05/1999
spotify:track:0bfpXEdKjph2BbFdaG3PY3;184;La Electricidad;McEnroe;21/04/2015
spotify:track:6Qwk9439qugiJTIAUoD1lh;185;En el alambre;Ivan Ferreiro;16/12/2022
spotify:track:524CYK7MKCn29GBQvQluzG;186;Bajo el volcán;Love of Lesbian;04/03/2016
spotify:track:4bDUpFkQtAIbRPVfaKeD6n;187;La Deriva;Vetusta Morla;08/04/2014
spotify:track:6PLIfuZYh2IrRNqJIEH26S;188;Hablar De Nada;Viva Suecia;06/10/2022
spotify:track:6S3oslrDkG9vyTDrtyjokA;189;berlin U5;Zahara;30/04/2021
spotify:track:46zO1Ym5n5R0bcizsOk02v;190;Todo Lo Que Importa;ELYELLA;
spotify:track:62JASMwWszQSm2lZaKvaa1;191;Siempre Brilla El Sol;Lori Meyers;17/02/2017
spotify:track:2adhtQyoXfZiJdaaK5Z52Z;192;Golpe Maestro;Vetusta Morla;21/04/2014
spotify:track:4iUzRZW4b9bHFcErFZzpYv;193;Mi Realidad;Lori Meyers;01/01/2010
spotify:track:3bV1iYSDsyvZJ3fU3ldsx0;194;20 Versiones;Lagartija Nick;14/05/2007
spotify:track:6yrqeQ1YDhzhuJFOd1uphJ;195;Los Seres Queridos;La Habitación Roja;12/01/2024
spotify:track:5H8Fn7NsXgnl6dE1xDfLIH;196;Tiemblo;CARLANGAS;21/02/2024
spotify:track:2DPL2XmKCVg0CKcrDO1ozs;197;Un Tragaluz;Viva Belgrado;19/01/2024
spotify:track:2OCpUm3GvQtKX57tpolcBO;198;Dopamina;Veintiuno;21/09/2018
spotify:track:2vCQG5PSjoJnfFnij0TdAc;199;Contradicción;Love of Lesbian;
spotify:track:5yslWqN2AOH88JtKwqeIkG;200;Pon Tu Mente Al Sol;El Niño Gusano;05/12/2009
spotify:track:4dybzNXwNmsIAUndPYYnSF;201;Elige Tu Propia Aventura;Carolina Durante;23/05/2024
spotify:track:2Stwhp9r7OnAQeNOx5Hfej;202;Días de Mierda;Sexy Zebras;28/06/2024
spotify:track:4j1MzpiDbDW2xMxQaTzE2c;203;Para Dormir Cuando No Estes;Supersubmarina;22/05/2012
spotify:track:4f2B5SZWn5olTURp1kFujm;204;La Calle Elfo;Alcalá Norte;17/04/2024
spotify:track:0p7ZuCBUYIDG8uDVOTHXvq;205;No Gires;Varry Brava;25/05/2010
spotify:track:7ESu0N2e4fmILYqHEvokYB;206;Ya No Puedes Verme;Extraños Pasajeros;25/10/2024
spotify:track:01u91DHY7vYq14yMc2mDQb;207;Estrella de los Mares;Apartamentos Acapulco;
spotify:track:1bmZwuBiJYemiKphgdM5q8;208;Los días malos;Niña Polaca;27/10/2023
spotify:track:4DEdfr4plBy97DH4YPg4At;209;Si Me Necesitas, Llámame;Siloé;27/10/2023
spotify:track:4foBjqNMLRtSgTHpK458hR;210;Viernes con Rufus T. Firefly;Repion;05/02/2025
spotify:track:140bXhvZHIqdTtl0gd7IhI;211;Todo por ti;Cometa;25/10/2024
spotify:track:2jgLfzZR8HYZDQOAL7eCVj;212;Silencios Complicados;Extraños Pasajeros;14/02/2025
spotify:track:2reMSHwKp0tDyDruqfNLW9;213;Aunque duela;shego;06/02/2025
spotify:track:1dIqLFYu55DvCCXE9c9kyB;214;Irremediable (feat. Siloé);Veintiuno;
spotify:track:7poEKK59qmtCn99QUlGnDr;215;El horizonte;Mallo;05/04/2024
spotify:track:08zSoBQIwrbxNCXHxLIlQB;216;Os traigo amor;Ángel Stanich;05/06/2025
spotify:track:3UWu4UtSrD2mskd9zk4rV4;217;¿Qué Más Puedo Pedir?;Fujita;03/02/2023
