Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:24ihOZZxDUJ3i7LgrCB8bc,"Algo Ha Cambiado Para Siempre","Espera La Pálida","Tulsa",2009-12-01,241893,0,false,ordago13,2016-08-08T10:42:52Z,"","Default Presentation Label",0.462,0.5,0,-7.998,1,0.0255,0.177,0.15,0.121,0.264,86.817,4
spotify:track:34gbA7sexH0wG4uPPxyLHW,"El Amor Mejora","Contando Historias","Cola Jet Set",2004-04-10,152786,0,false,ordago13,2016-08-08T10:44:48Z,"","Subterfuge Records",0.634,0.785,0,-4.942,1,0.038,0.304,0,0.124,0.847,137.961,4
spotify:track:1kjJLQhV2NDCWCf0ParWAJ,"De Momento Abril","Romancero","La Bien Querida",2009-04-06,184480,47,false,ordago13,2017-08-22T10:03:21Z,"indie latino","Elefant Records distributed by Altafonte",0.71,0.658,1,-8.31,1,0.0285,0.0358,0.00913,0.147,0.929,100.017,3
spotify:track:54DXhSFMuydh4ObQHLOVA5,"F.d.a.c.","Sesion (Noises - Sesion)","The Noises",2017-10-03,222720,0,false,ordago13,2017-10-14T18:31:29Z,"","The Noises",0.436,0.743,11,-5.919,1,0.0343,0.000341,0,0.192,0.329,143.959,4
spotify:track:0olbdwIJ3oSRERKdlmky4r,"Bien por Ti","La Fuerza Mayor","Viva Suecia",2016-02-19,180099,54,false,ordago13,2018-01-14T23:04:19Z,"indie","Subterfuge Records distributed by Altafonte",0.4,0.783,6,-5.905,0,0.0334,0.0498,0.154,0.284,0.377,158.175,4
spotify:track:7dun0h25rFIwPJEKp3kheP,"Shiralee","Second To None","Arizona Baby",2009,183120,23,false,ordago13,2018-01-14T23:06:02Z,"","Subterfuge Records distributed by Altafonte",0.558,0.969,11,-5.972,0,0.0668,0.00372,0.0984,0.126,0.509,110.239,4
spotify:track:5EskUV4Rg1VMNVPB32xUme,"Nómadas","¿Quién Nos Va a Salvar?","La Maravillosa Orquesta del Alcohol",2013-10-15,204701,2,false,ordago13,2018-08-06T15:33:40Z,"","PRMVR distributed by Altafonte",0.586,0.619,6,-11.792,0,0.0288,0.123,0,0.2,0.682,120.97,4
spotify:track:2iMmJnw3T4RPrXzdeeQPxu,"Carbura!","Carbura!","Ángel Stanich",2015-02-02,305586,33,false,ordago13,2018-08-06T15:34:35Z,"","Sony Music Entertainment",0.465,0.68,6,-6.497,1,0.032,0.0846,0.000245,0.0764,0.553,78.887,4
spotify:track:4hTXeWayUVMwoz6v1CviSN,"Copacabana","Copacabana","IZAL",2015-07-14,216566,61,false,ordago13,2018-08-06T16:15:43Z,"indie","Altafonte under exclusive license from Hook Ediciones Musicales",0.62,0.81,9,-7.194,0,0.0485,0.0093,0.00000451,0.207,0.512,144.924,4
spotify:track:4PBGWPXxbAmZYSi5iLtRpQ,"Costa Azul","Costa Azul","Sidonie",2007-06-14,233106,30,false,ordago13,2018-08-24T19:59:57Z,"indie","Columbia",0.474,0.77,7,-6.495,0,0.027,0.00018,0.000122,0.376,0.636,145.923,4
