Track URI;Track;Artist;Release year
spotify:track:4m3vLNZkFAjm30XxPXf7E3;Eres para Mí;Julieta Venegas;2006
spotify:track:1aTQjtfI3EapNrDGu4iu5T;Y en Tu Ventana;Andy & Lucas;2003
spotify:track:1MO5KuLnSaY1dlkWGDjHkT;¡Que Bonito!;Rosario;1996
spotify:track:1LuW4h5s9ZumBbMh7qhDDj;Una Foto en Blanco y Negro;El Canto Del Loco;2003
spotify:track:3lgiC0OSZbPcyeO0HdTwz2;Justo Ahora;Dvicio;2014
spotify:track:0GyksGKFXH50Lx737ahxIq;Vestido Azul;La Oreja de Van Gogh;2003
spotify:track:5ZCamgcqvkckdf2FdfYuth;La Llamada;Leiva;2017
spotify:track:6uUg2lTd67oC4372G210uw;Darte Mi Vida;Amaia Montero;2014
spotify:track:2a7Ufmq13NRMavrBYUN5Ex;Desátame;Monica Naranjo;1997
spotify:track:15m2Op4d1ZtX0ScPaDNKcd;Vino Tinto;Estopa;2001
spotify:track:2bbeNsFmjZqdoDhjLsKNWe;Bailamos;Enrique Iglesias;1999
spotify:track:7hlPoVZ1uz7FiQagPTVbQG;Te Miro A La Cara;Daviles de Novelda;2021
spotify:track:0Gx4VrHzS7pZOEAGrmXXBH;La Bicicleta;Carlos Vives;2016
spotify:track:0QQHPRbgLJJ5XNzJV1l9BW;María;Ricky Martin;1995
spotify:track:0NYWDlaBz5ejU8N8g8GRFV;Celos;Andy & Lucas;2005
spotify:track:2IAtnd4UG52HQP9Rwart5h;La Bomba;Ricky Martin;1998
spotify:track:3Av9wr1MflgPnAkxmOblKJ;Ahí Estás Tú;Chambao;2003
spotify:track:7hJ50qGogxnnOto7kISbSQ;Todo No Es Casualidad - Versión Radio;India Martinez;2016
spotify:track:0SzNJxel0NMpA4xM2COhO4;Dímelo;Marc Anthony;1999
spotify:track:1ayLQcNwISmhnjLHOtUYrM;Eras Tu;Merche;2005
spotify:track:4ClSC5MEC4gFOFrxiSIHak;Me Duele La Cara De Ser Tan Guapo;Los Inhumanos;1988
spotify:track:7GO6pBFbieZ30NjGIp2LP5;Nada Fue Un Error - Live In Spain / 2005;Coti;2005
spotify:track:4UtREbGYnd1nZLckEb5y8J;Carolina - En directo 2000;M-Clan;2000
spotify:track:6cbyVJ3EBWJ2ay8nffhNhh;Y Nos Dieron las Diez;Joaquín Sabina;1992
spotify:track:3tORVJDKoY6zLrskPvouaL;Sin ti no soy nada;Amaral;2002
spotify:track:0Gb0HHBCpDL3lYqaabpVu8;Son Sueños;El Canto Del Loco;1999
spotify:track:7Lgarpf1OqaXsUTjKZ34mK;Me Falta el Aliento;Estopa;1995
spotify:track:29UkXUrWYGoPsxEesEH3qZ;Un Planeta Llamado Nosotros;Maldita Nerea;2020
spotify:track:6CIDsqMEEsBJf5Cv6RbuGw;Deseos de Cosas Imposibles;La Oreja de Van Gogh;2003
spotify:track:3JhllUTyXy2ceSTzNSErBC;Días de verano;Amaral;2005
spotify:track:0VqXrOSgbq1ukARLV4uGU0;Pisando fuerte;Alejandro Sanz;1991
spotify:track:7ixB1UqUrV87IvACFJayXy;Supersubmarina;Supersubmarina;2010
spotify:track:5jW8veZpHmgrGz6qcimuRu;La Camisa Negra;Juanes;2004
spotify:track:7kbdwklxm48OgpCrC3r5ot;Amor de San Juan;Niña Pastori;2009
spotify:track:3JFFnk9XQ9PKNd6ueBc2RK;Malo;Bebe;2004
spotify:track:2O7w4VYV2eScxtZr9EZ3Iu;Tu Mirada Me Hace Grande;Maldita Nerea;2009
spotify:track:1mazkL64KQ7h6UZoaxxS46;Cuando Me Vaya (feat. Natalia Jiménez);Melocos;2007
spotify:track:30ddpolNHwXlrS5XO8MiiO;Marta, Sebas, Guille y los demás;Amaral;2005
spotify:track:4twmehYjvXshw3ViIypIrn;Dos Hombres Y Un Destino;Bustamante;2003
spotify:track:3F6QDKtaBlaEfI6TLjLIQw;Devuelveme la Vida (with Antonio Orozco);Malú;2003
spotify:track:6IDgYT1p1n0M5kQVjLQozC;Aprendiz;Malú;1998
spotify:track:3l8Ennt1PqShViwh0tkWuc;La Madre de Jose;El Canto Del Loco;2003
spotify:track:7dITAq1YP5e0kTcaDq4YWI;Limón y Sal;Julieta Venegas;2006
spotify:track:4sVBWe5oHOvJh4k1HhD0J8;Polvora;Leiva;2014
spotify:track:1vHY8bEVI7Sg85xNMTDxXM;Ya No Me Acuerdo;Estopa;2004
spotify:track:0DBFnvrWi43WO354NvL15A;Por Mi Tripa;Pereza;2007
